Torneo,Fecha,Categoria,Pregunta_ES,Opcion1_ES,Opcion2_ES,Opcion3_ES,Pregunta_PT,Opcion1_PT,Opcion2_PT,Opcion3_PT,Pregunta_EN,Opcion1_EN,Opcion2_EN,Opcion3_EN,Respuesta_Correcta,Es_Ordenamiento
Mundial_1,1,eventos,¿Qué suceso provocó la muerte de Uza mientras transportaban el Arca del Pacto a Jerusalén?,Tocar el Arca cuando los bueyes tropezaron,Abrir la cubierta para mirar dentro,Dejar caer el Arca al suelo,Qual evento provocou a morte de Uzá enquanto transportavam a Arca da Aliança para Jerusalém?,Tocar na Arca quando os bois tropeçaram,Abrir a tampa para olhar dentro,Deixar a Arca cair no chão,What event brought about the death of Uzzah while transporting the Ark of the Covenant to Jerusalem?,Touching the Ark when the oxen stumbled,Opening the cover to look inside,Dropping the Ark to the ground,1,FALSE
Mundial_1,1,versiculos,"¿En qué libro y capítulo se encuentra la frase ""Lámpara es a mis pies tu palabra, y lumbrera a mi camino""?",Salmo 119,Salmo 23,Salmo 91,"Em qual livro e capítulo se encontra a frase ""Lâmpada para os meus pés é tua palavra e luz para o meu caminho""?",Salmo 119,Salmo 23,Salmo 91,"In which book and chapter is the verse ""Your word is a lamp to my feet and a light to my path"" found?",Psalm 119,Psalm 23,Psalm 91,1,FALSE
Mundial_1,1,versiculos,"¿En qué epístola se declara explícitamente que ""la fe sin obras está muerta""?",Santiago 2,1 Pedro 2,Hebreos 10,"Em qual epístola se declara explicitamente que ""a fé sem obras é morta""?",Tiago 2,1 Pedro 2,Hebreus 10,"In which epistle is it explicitly stated that ""faith without works is dead""?",James 2,1 Peter 2,Hebrews 10,1,FALSE
Mundial_1,1,versiculos,"¿En qué Evangelio y capítulo afirma Jesús ""Yo soy el camino, y la verdad, y la vida""?",Juan 14,Mateo 5,Lucas 10,"Em qual Evangelho e capítulo Jesus afirma ""Eu sou o caminho, e a verdade e a vida""?",João 14,Mateus 5,Lucas 10,"In which Gospel and chapter does Jesus state ""I am the way and the truth and the life""?",John 14,Matthew 5,Luke 10,1,FALSE
Mundial_1,1,versiculos,"¿En qué carta de Pablo se enumeran las virtudes conocidas como ""el fruto del Espíritu""?",Gálatas 5,Efesios 4,Colosenses 3,"Em qual carta de Paulo são enumeradas as virtudes conhecidas como ""o fruto do Espírito""?",Gálatas 5,Efésios 4,Colossenses 3,"In which letter of Paul are the virtues known as ""the fruit of the Spirit"" listed?",Galatians 5,Ephesians 4,Colossians 3,1,FALSE
Mundial_1,1,versiculos,¿Qué libro profético concluye anunciando el envío del profeta Elías antes del día grande del Señor?,Malaquías,Zacarías,Sofonías,Qual livro profético conclui anunciando o envio do profeta Elias antes do grande dia do Senhor?,Malaquias,Zacarias,Sofonias,Which prophetic book concludes by announcing the sending of Elijah the prophet before the great day of the LORD?,Malachi,Zechariah,Zephaniah,1,FALSE
Mundial_1,1,versiculos,"¿En qué pasaje de 2 Timoteo se afirma que ""Toda la Escritura es inspirada por Dios""?",2 Timoteo 3:16,1 Timoteo 2:5,2 Timoteo 4:7,"Em qual passagem de 2 Timóteo se afirma que ""Toda a Escritura é inspirada por Deus""?",2 Timóteo 3:16,1 Timóteo 2:5,2 Timóteo 4:7,"In which passage of 2 Timothy is it stated that ""All Scripture is God-breathed""?",2 Timothy 3:16,1 Timothy 2:5,2 Timothy 4:7,1,FALSE
Mundial_1,1,personajes,¿Qué rey de Babilonia sacó de la cárcel al rey Joaquín de Judá y le dio un trono de honor?,Evil-merodac,Belsasar,Nergal-sar-eser,Qual rei da Babilônia tirou o rei Joaquim de Judá da prisão e lhe deu um trono de honra?,Evil-Merodaque,Belsazar,Nergal-Sarezer,Which king of Babylon released King Jehoiachin of Judah from prison and gave him a seat of honor?,Evil-merodach,Belshazzar,Nergal-sharezer,1,FALSE
Mundial_1,1,personajes,¿Qué primo de Ester descubrió la conspiración de los eunucos Bigtán y Teres contra el rey?,Mardoqueo,Amán,Hegai,Qual primo de Ester descobriu a conspiração dos eunucos Bigtã e Teres contra o rei?,Mardoqueu,Hamã,Hegai,Which cousin of Esther uncovered the plot of the eunuchs Bigthan and Teresh against the king?,Mordecai,Haman,Hegai,1,FALSE
Mundial_1,2,personajes,¿Qué colaborador de Pablo refrescó su espíritu y no se avergonzó de sus cadenas en Roma?,Onesíforo,Demas,Alejandro,Qual colaborador de Paulo revigorou seu espírito e não se envergonhou de suas algemas em Roma?,Onesíforo,Demas,Alexandre,Which co-worker of Paul refreshed his spirit and was not ashamed of his chains in Rome?,Onesiphorus,Demas,Alexander,1,FALSE
Mundial_1,2,eventos,¿En qué monte murieron los tres hijos de Saúl y cayó el propio rey sobre su espada?,Monte Gilboa,Monte Carmelo,Monte Tabor,Em qual monte morreram os três filhos de Saul e o próprio rei caiu sobre sua espada?,Monte Gilboa,Monte Carmelo,Monte Tabor,On which mountain did Saul's three sons die and the king himself fall on his sword?,Mount Gilboa,Mount Carmel,Mount Tabor,1,FALSE
Mundial_1,2,eventos,¿Qué emperador asirio completó el sitio de Samaria y deportó al reino del norte de Israel?,Sarcón II,Senaquerib,Tiglat-pileser III,Qual imperador assírio completou o cerco de Samaria e deportou o reino do norte de Israel?,Sargão II,Senaqueribe,Tiglate-Pileser III,Which Assyrian emperor completed the siege of Samaria and deported the northern kingdom of Israel?,Sargon II,Sennacherib,Tiglath-Pileser III,1,FALSE
Mundial_1,2,eventos,¿Cuál fue la primera plaga en Egipto de la que Dios eximió explícitamente a la tierra de Gosén?,Las moscas,Las ranas,Los piojos,Qual foi a primeira praga no Egito da qual Deus isentou explicitamente a terra de Gósen?,As moscas,As rãs,Os piolhos,Which was the first plague in Egypt from which God explicitly exempted the land of Goshen?,Flies,Frogs,Gnats,1,FALSE
Mundial_1,2,versiculos,"¿En qué libro y capítulo profético se promete: ""Los que esperan a Jehová tendrán nuevas fuerzas""?",Isaías 40,Isaías 55,Jeremías 29,"Em qual livro e capítulo profético se promete: ""Os que esperam no Senhor renovarão as suas forças""?",Isaías 40,Isaías 55,Jeremias 29,"In which prophetic book and chapter is it promised: ""Those who hope in the LORD will renew their strength""?",Isaiah 40,Isaiah 55,Jeremiah 29,1,FALSE
Mundial_1,2,versiculos,"¿En qué epístola se define a Dios diciendo textualmente ""Dios es amor""?",1 Juan 4,1 Corintios 13,Efesios 2,"Em qual epístola se define a Deus dizendo textualmente ""Deus é amor""?",1 João 4,1 Coríntios 13,Efésios 2,"In which epistle is God defined with the statement ""God is love""?",1 John 4,1 Corinthians 13,Ephesians 2,1,FALSE
Mundial_1,2,versiculos,"¿En qué Evangelio y capítulo promete Jesús ""Vendré otra vez, y os tomaré a mí mismo""?",Juan 14,Mateo 24,Lucas 21,"Em qual Evangelho e capítulo Jesus promete ""Virei outra vez e vos tomarei para mim mesmo""?",João 14,Mateus 24,Lucas 21,"In which Gospel and chapter does Jesus promise ""I will come back and take you to be with me""?",John 14,Matthew 24,Luke 21,1,FALSE
Mundial_1,2,versiculos,¿En qué capítulo de Romanos concluye Pablo asegurando que nada podrá separarnos del amor de Dios?,Romanos 8,Romanos 12,Romanos 5,Em qual capítulo de Romanos Paulo conclui assegurando que nada poderá nos separar do amor de Deus?,Romanos 8,Romanos 12,Romanos 5,In which chapter of Romans does Paul conclude by asserting that nothing will be able to separate us from the love of God?,Romans 8,Romans 12,Romans 5,1,FALSE
Mundial_1,2,personajes,¿Qué nieto de David y rey de Judá fue sucedido por su madre Atalía tras ser ejecutado por Jehú?,Ocozías,Joás,Amasías,Qual neto de Davi e rei de Judá foi sucedido por sua mãe Atalia após ser morto por Jeú?,Acazias,Joás,Amazias,Which grandson of David and king of Judah was succeeded by his mother Athaliah after being killed by Jehu?,Ahaziah,Joash,Amaziah,1,FALSE
Mundial_1,2,personajes,¿Quién fue la esposa de Elcana que oró fervientemente en el tabernáculo de Silo por un hijo?,Ana,Penina,Noemí,Quem foi a esposa de Elcana que orou fervorosamente no tabernáculo de Siló por um filho?,Ana,Penina,Noemi,Who was Elkanah's wife who prayed fervently at the tabernacle in Shiloh for a son?,Hannah,Peninnah,Naomi,1,FALSE
Mundial_1,2,personajes,¿Qué rey de Israel compró el monte de Samaria y construyó allí la nueva capital del reino?,Omri,Baasa,Tibni,Qual rei de Israel comprou o monte de Samaria e construiu ali a nova capital do reino?,Onri,Baasa,Tibni,Which king of Israel bought the hill of Samaria and built the new capital of the kingdom?,Omri,Baasha,Tibni,1,FALSE
Mundial_1,2,ciudades,¿En qué ciudad murió el rey Josías tras ser herido en batalla por el faraón Necao?,Meguido,Carquemis,Laquis,Em qual cidade morreu o rei Josias após ser ferido em batalha pelo faraó Neco?,Megido,Carquemis,Laquis,In which city did King Josiah die after being wounded in battle by Pharaoh Neco?,Megiddo,Carchemish,Lachish,1,FALSE
Mundial_1,2,personajes,"¿Quién fue el abuelo del profeta Sofonías, mencionado al principio de su libro?",Ezequías,Josías,Amón,"Quem foi o avô do profeta Sofonias, mencionado no início do seu livro?",Ezequias,Josias,Amom,"Who was the great-great-grandfather of the prophet Zephaniah, mentioned at the beginning of his book?",Hezekiah,Josiah,Amon,1,FALSE
Mundial_1,2,elementos,¿De qué madera específica ordenó Dios construir el Arca de la Alianza?,Madera de acacia,Madera de cedro,Madera de ciprés,De qual madeira específica Deus ordenou que se construísse a Arca da Aliança?,Madeira de acácia,Madeira de cedro,Madeira de cipreste,What specific wood did God command the Ark of the Covenant to be built from?,Acacia wood,Cedar wood,Cypress wood,1,FALSE
Mundial_1,2,eventos,¿Qué rey de Judá fue castigado con lepra hasta el día de su muerte por quemar incienso en el templo?,Uzías,Acaz,Jotán,Qual rei de Judá foi castigado com lepra até o dia da sua morte por queimar incenso no templo?,Uzias,Acaz,Jotão,Which king of Judah was struck with leprosy until the day of his death for burning incense in the temple?,Uzziah,Ahaz,Jotham,1,FALSE
Mundial_1,2,versiculos,"¿En qué epístola se menciona a los ángeles que no guardaron su dignidad, sino que abandonaron su propia morada?",Judas,2 Pedro,Apocalipsis,"Em qual epístola são mencionados os anjos que não guardaram o seu principado, mas deixaram a sua própria habitação?",Judas,2 Pedro,Apocalipse,In which epistle are the angels who did not keep their positions of authority but abandoned their proper dwelling mentioned?,Jude,2 Peter,Revelation,1,FALSE
Mundial_1,2,ciudades,¿A qué ciudad intentaba huir Jonás en barco para escapar de la presencia de Dios?,Tarsis,Jope,Tiro,Para qual cidade Jonas tentava fugir de barco para escapar da presença de Deus?,Társis,Jope,Tiro,To which city was Jonah attempting to flee by ship to escape from the presence of the Lord?,Tarshish,Joppa,Tyre,1,FALSE
Mundial_1,2,personajes,¿Qué líder eunuco etíope rescató al profeta Jeremías de la cisterna de lodo?,Ebed-melec,Sarsaquin,Aspenaz,Qual líder eunuco etíope resgatou o profeta Jeremias da cisterna de lama?,Ebede-Meleque,Sarseque,Aspenaz,Which Ethiopian eunuch official rescued the prophet Jeremiah from the muddy cistern?,Ebed-Melech,Sarsechim,Ashpenaz,1,FALSE
Mundial_1,2,elementos,¿Con qué objeto midió el ángel la ciudad de Jerusalén en la visión del profeta Zacarías?,Un cordel de medir,Una caña de oro,Una plomada de albañil,Com qual objeto o anjo mediu a cidade de Jerusalém na visão do profeta Zacarias?,Um cordel de medir,Uma cana de ouro,Um prumo de pedreiro,With what object did the man measure the city of Jerusalem in Zechariah's vision?,A measuring line,A golden reed,A plumb line,1,FALSE
Mundial_1,2,eventos,"¿Qué tribus levantaron un altar llamado ""Ed"" junto al río Jordán, casi provocando una guerra civil?","Rubén, Gad y media tribu de Manasés",Efraín y Manasés,Judá y Benjamín,"Quais tribos levantaram um altar chamado ""Ed"" junto ao rio Jordão, quase provocando uma guerra civil?","Rúben, Gade e meia tribo de Manassés",Efraim e Manassés,Judá e Benjamim,"Which tribes built an altar named ""Ed"" by the Jordan River, almost causing a civil war?","Reuben, Gad, and the half-tribe of Manasseh",Ephraim and Manasseh,Judah and Benjamin,1,FALSE
Mundial_1,2,versiculos,"¿Qué profeta escribió: ""Aunque la higuera no florezca, ni en las vides haya frutos...""?",Habacuc,Hageo,Miqueas,"Qual profeta escreveu: ""Ainda que a figueira não floresça, nem haja fruto na vide...""?",Habacuque,Ageu,Miqueias,"Which prophet wrote: ""Though the fig tree does not bud and there are no grapes on the vines...""?",Habakkuk,Haggai,Micah,1,FALSE
Mundial_1,3,ciudades,"¿En qué ciudad se le apareció el Señor a Pablo de noche diciendo: ""No temas, sino habla y no calles""?",Corinto,Éfeso,Atenas,"Em qual cidade o Senhor apareceu a Paulo de noite dizendo: ""Não temas, mas fala, e não te cales""?",Corinto,Éfeso,Atenas,"In which city did the Lord appear to Paul in a night vision saying: ""Do not be afraid; keep on speaking, do not be silent""?",Corinth,Ephesus,Athens,1,FALSE
Mundial_1,3,elementos,¿De qué color era el cordón que Rahab ató a su ventana para salvar a su familia en Jericó?,Grana (rojo),Púrpura,Azul,De que cor era o cordão que Raabe amarrou em sua janela para salvar sua família em Jericó?,Escarlate (vermelho),Púrpura,Azul,What color was the cord that Rahab tied in her window to save her family in Jericho?,Scarlet (red),Purple,Blue,1,FALSE
Mundial_1,3,personajes,¿Qué valiente de David mató a dos leones de Moab y a un egipcio de gran estatura?,Benaías,Abisai,Asael,Qual valente de Davi matou dois leões de Moabe e um egípcio de grande estatura?,Benaia,Abisai,Asael,Which of David's mighty warriors killed two of Moab's best men and a huge Egyptian?,Benaiah,Abishai,Asahel,1,FALSE
Mundial_1,3,eventos,¿Qué suceso milagroso ocurrió cuando Eliseo golpeó las aguas del Jordán con el manto de Elías?,Las aguas se dividieron en dos,El agua se volvió dulce,Apareció fuego del cielo,Qual evento miraculoso ocorreu quando Eliseu feriu as águas do Jordão com a capa de Elias?,As águas se dividiram em duas,A água tornou-se doce,Fogo caiu do céu,What miraculous event occurred when Elisha struck the waters of the Jordan with Elijah's cloak?,The waters divided in two,The water became sweet,Fire came from heaven,1,FALSE
Mundial_1,3,versiculos,"¿En qué libro se describe a Dios como el ""Anciano de días"" cuyo vestido era blanco como la nieve?",Daniel,Ezequiel,Apocalipsis,"Em qual livro Deus é descrito como o ""Ancião de dias"" cuja veste era branca como a neve?",Daniel,Ezequiel,Apocalipse,"In which book is God described as the ""Ancient of Days"" whose clothing was as white as snow?",Daniel,Ezekiel,Revelation,1,FALSE
Mundial_1,3,ciudades,¿Qué ciudad edificó el rey Jeroboam en los montes de Efraín para que fuera su capital inicial?,Siquem,Tirsa,Samaria,Qual cidade o rei Jeroboão edificou na região montanhosa de Efraim para ser sua capital inicial?,Siquém,Tirza,Samaria,Which city did King Jeroboam build in the hill country of Ephraim to be his initial capital?,Shechem,Tirzah,Samaria,1,FALSE
Mundial_1,3,elementos,¿Qué instrumento inusual usó el juez Samgar para matar a seiscientos filisteos?,Una aguijada de bueyes,Una quijada de asno,Una honda de pastor,Que instrumento incomum o juiz Sangar usou para matar seiscentos filisteus?,Uma aguilhada de bois,Uma queixada de jumento,Uma funda de pastor,What unusual instrument did the judge Shamgar use to strike down six hundred Philistines?,An oxgoad,A donkey's jawbone,A shepherd's sling,1,FALSE
Mundial_1,3,personajes,"¿Quién fue el suegro de Moisés, también conocido como Jetro, sacerdote de Madián?",Reuel,Hobab,Balac,"Quem foi o sogro de Moisés, também conhecido como Jetro, sacerdote de Midiã?",Reuel,Hobabe,Balaque,"Who was Moses' father-in-law, also known as Jethro, the priest of Midian?",Reuel,Hobab,Balak,1,FALSE
Mundial_1,3,eventos,¿Bajo qué árbol estaba sentado el ángel del Señor cuando se le apareció a Gedeón por primera vez?,Una encina (o roble),Una palmera,Un sicómoro,Debaixo de qual árvore o anjo do Senhor estava sentado quando apareceu a Gideão pela primeira vez?,Um carvalho,Uma palmeira,Uma figueira brava,Under what kind of tree was the angel of the Lord sitting when he first appeared to Gideon?,An oak tree,A palm tree,A sycamore-fig tree,1,FALSE
Mundial_1,3,versiculos,¿A quién dirige el apóstol Juan su segunda epístola (2 Juan)?,A la señora elegida y a sus hijos,A Gayo el amado,A la iglesia en Pérgamo,A quem o apóstolo João dirige sua segunda epístola (2 João)?,À senhora eleita e aos seus filhos,"A Gaio, o amado",À igreja em Pérgamo,To whom does the apostle John address his second epistle (2 John)?,To the chosen lady and her children,To Gaius the beloved,To the church in Pergamum,1,FALSE
Mundial_1,3,ciudades,¿En qué ciudad griega pronunció Pablo su famoso discurso en la colina del Areópago?,Atenas,Roma,Filipos,Em qual cidade grega Paulo proferiu seu famoso discurso na colina do Areópago?,Atenas,Roma,Filipos,In which Greek city did Paul deliver his famous speech at the Areopagus (Mars Hill)?,Athens,Rome,Philippi,1,FALSE
Mundial_1,3,elementos,¿Qué piedra preciosa constituía el primer fundamento del muro de la Nueva Jerusalén?,Jaspe,Zafiro,Esmeralda,Qual pedra preciosa constituía o primeiro fundamento do muro da Nova Jerusalém?,Jaspe,Safira,Esmeralda,What precious stone formed the first foundation of the wall of the New Jerusalem?,Jasper,Sapphire,Emerald,1,FALSE
Mundial_1,3,personajes,¿Qué hijo primogénito del rey David traicionó la confianza familiar al violar a su media hermana Tamar?,Amnón,Absalón,Adonías,Qual filho primogênito do rei Davi traiu a confiança familiar ao estuprar sua meia-irmã Tamar?,Amnom,Absalão,Adonias,Which firstborn son of King David betrayed family trust by violating his half-sister Tamar?,Amnon,Absalom,Adonijah,1,FALSE
Mundial_1,3,eventos,¿Qué hizo el rey Joacim de Judá con el rollo de las profecías de Jeremías?,Lo cortó con un cortaplumas y lo quemó,Lo guardó en el arca del templo,Se lo envió al rey de Babilonia,O que o rei Jeoaquim de Judá fez com o rolo das profecias de Jeremias?,Cortou-o com um canivete e o queimou,Guardou-o na arca do templo,Enviou-o ao rei da Babilônia,What did King Jehoiakim of Judah do with the scroll of Jeremiah's prophecies?,Cut it with a scribe's knife and burned it,Stored it in the temple ark,Sent it to the king of Babylon,1,FALSE
Mundial_1,3,versiculos,"¿Qué libro poético del Antiguo Testamento afirma que ""el hierro con hierro se aguza""?",Proverbios,Eclesiastés,Job,"Qual livro poético do Antigo Testamento afirma que ""o ferro com o ferro se aguça""?",Provérbios,Eclesiastes,Jó,"Which poetic book of the Old Testament states that ""iron sharpens iron""?",Proverbs,Ecclesiastes,Job,1,FALSE
Mundial_1,3,ciudades,¿Qué ciudad fue destruida por Josué con una maldición sobre quien intentara reconstruir sus muros?,Jericó,Hai,Hazor,Qual cidade foi destruída por Josué com uma maldição sobre quem tentasse reconstruir seus muros?,Jericó,Ai,Hazor,Which city was destroyed by Joshua with a curse placed on anyone who would rebuild its walls?,Jericho,Ai,Hazor,1,FALSE
Mundial_1,3,elementos,¿Con qué vistió Dios a Adán y Eva antes de expulsarlos del jardín del Edén?,Túnicas de pieles,Hojas de higuera cosidas,Vestiduras de lino fino,Com o que Deus vestiu Adão e Eva antes de expulsá-los do jardim do Éden?,Túnicas de peles,Folhas de figueira costuradas,Vestes de linho fino,What did God use to clothe Adam and Eve before banishing them from the Garden of Eden?,Garments of skin,Sewn fig leaves,Garments of fine linen,1,FALSE
Mundial_1,3,personajes,"¿Qué emperador romano ordenó que todos los judíos salieran de Roma, obligando a huir a Aquila y Priscila?",Claudio,Nerón,Augusto,"Qual imperador romano ordenou que todos os judeus saíssem de Roma, forçando Áquila e Priscila a fugir?",Cláudio,Nero,Augusto,"Which Roman emperor ordered all Jews to leave Rome, forcing Aquila and Priscilla to flee?",Claudius,Nero,Augustus,1,FALSE
Mundial_1,3,eventos,¿Por cuántas monedas o peso de plata compró el rey Omri el monte donde edificó la ciudad de Samaria?,Dos talentos de plata,Treinta piezas de plata,Cien siclos de plata,Por quantas moedas ou peso de prata o rei Onri comprou o monte onde edificou a cidade de Samaria?,Dois talentos de prata,Trinta moedas de prata,Cem siclos de prata,For how much silver did King Omri buy the hill on which he built the city of Samaria?,Two talents of silver,Thirty pieces of silver,One hundred shekels of silver,1,FALSE
Mundial_1,3,versiculos,"¿Qué capítulo del libro de Hebreos es ampliamente conocido por los teólogos como el ""Salón de la Fe""?",Hebreos 11,Hebreos 10,Hebreos 12,"Qual capítulo do livro de Hebreus é amplamente conhecido pelos teólogos como a ""Galeria da Fé""?",Hebreus 11,Hebreus 10,Hebreus 12,"Which chapter in the book of Hebrews is widely known by theologians as the ""Hall of Faith""?",Hebrews 11,Hebrews 10,Hebrews 12,1,FALSE
Mundial_1,4,ciudades,¿En qué ciudad de Licaonia fue Pablo apedreado y arrastrado fuera de los muros creyéndole muerto?,Listra,Iconio,Derbe,"Em qual cidade da Licaônia Paulo foi apedrejado e arrastado para fora dos muros, dando-o por morto?",Listra,Icônio,Derbe,"In which Lycaonian city was Paul stoned and dragged outside the city walls, presumed dead?",Lystra,Iconium,Derbe,1,FALSE
Mundial_1,4,elementos,¿Qué tipo de ave soltó Noé primero desde el arca para ver si las aguas del diluvio se habían secado?,Un cuervo,Una paloma,Un halcón,Que tipo de ave Noé soltou primeiro da arca para ver se as águas do dilúvio tinham secado?,Um corvo,Uma pomba,Um falcão,What kind of bird did Noah release first from the ark to see if the floodwaters had receded?,A raven,A dove,A hawk,1,FALSE
Mundial_1,4,personajes,¿Qué falso profeta rompió el yugo de madera de Jeremías y luego murió ese mismo año según la profecía divina?,Hananías,Pasur,Semaías,Qual falso profeta quebrou o jugo de madeira de Jeremias e depois morreu naquele mesmo ano segundo a profecia divina?,Hananias,Pasur,Semaías,Which false prophet broke the wooden yoke off Jeremiah's neck and died that same year according to divine prophecy?,Hananiah,Pashhur,Shemaiah,1,FALSE
Mundial_1,4,eventos,¿Qué desastre geológico ocurrió en Jerusalén exactamente cuando Jesús exhaló el último suspiro en la cruz?,Hubo un terremoto y las rocas se partieron,Un huracán oscureció el cielo bruscamente,El monte del Templo se derrumbó,Qual desastre geológico ocorreu em Jerusalém exatamente quando Jesus deu o último suspiro na cruz?,Houve um terremoto e as rochas se fenderam,Um furacão escureceu o céu bruscamente,O monte do Templo desabou,What geological disaster occurred in Jerusalem at the exact moment Jesus breathed his last on the cross?,There was an earthquake and the rocks split,A hurricane suddenly darkened the sky,The Temple mount collapsed,1,FALSE
Mundial_1,4,versiculos,"¿Qué apóstol exhorta a la iglesia diciendo: ""Echando toda vuestra ansiedad sobre él, porque él tiene cuidado de vosotros""?",Pedro (1 Pedro),Pablo (Filipenses),Juan (1 Juan),"Qual apóstolo exorta a igreja dizendo: ""Lançando sobre ele toda a vossa ansiedade, porque ele tem cuidado de vós""?",Pedro (1 Pedro),Paulo (Filipenses),João (1 João),"Which apostle exhorts the church by saying: ""Cast all your anxiety on him because he cares for you""?",Peter (1 Peter),Paul (Philippians),John (1 John),1,FALSE
Mundial_1,4,ciudades,¿Qué poderosa ciudad comercial y marítima fue profetizada por Ezequiel que sería arrasada y arrojada al mar?,Tiro,Sidón,Tarsis,Qual poderosa cidade comercial e marítima foi profetizada por Ezequiel que seria arrasada e lançada ao mar?,Tiro,Sidom,Társis,Which powerful maritime and commercial city was prophesied by Ezekiel to be destroyed and thrown into the sea?,Tyre,Sidon,Tarshish,1,FALSE
